intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HONDUH,HONDUH,HONDUH,0.9757,100.0,100.0
0-19,HONDUH,HONDUH,HONDUH,0.9757,100.0,100.0
21-42,TI6ELE5S,TI6ELE5S,TIMELESS,0.1589,75.0,0.0
21-42,TI6ELE5S,TI6ELE5S,TIMELESS,0.1589,75.0,0.0
43-60,FEEWABUG,FEEWABUG,EEWABUG,0.3268,87.5,0.0
43-60,EEEMABVG,EEEMABVG,EEWABUG,0.0573,62.5,0.0
61-79,PIKACKU,PIKACKU,PIKACHU,0.6704,85.71,0.0
61-79,PIKACKU,PIKACKU,PIKACHU,0.6704,85.71,0.0
80-100,FIT,FIT,OHIFIT,0.9967,50.0,0.0
80-100,FIT,FIT,OHIFIT,0.9967,50.0,0.0
101-117,GIS,GIS,EWGAS,0.6626,40.0,0.0
101-117,GIS,GIS,EWGAS,0.6626,40.0,0.0
118-145,QFZELDA,QFZELDA,OFZELDA,0.6059,85.71,0.0
118-145,QFZELDA,QFZELDA,OFZELDA,0.6059,85.71,0.0
146-160,BYE4O1K,BYE4O1K,BYE4O1K,0.6683,100.0,100.0
146-160,BYE4O1KL,BYE4O1KL,BYE4O1K,0.3875,87.5,0.0
161-183,HUAHAHA,HUAHAHA,MUAHAHA,0.6792,85.71,0.0
161-183,HUAHAHA,HUAHAHA,MUAHAHA,0.6792,85.71,0.0
184-202,ORZNNTEL,ORZNNTEL,ORINNIE,0.2695,62.5,0.0
184-202,ORZNNTEL,ORZNNTEL,ORINNIE,0.2695,62.5,0.0
203-224,KNBEYOND,KNBEYOND,NBEYOND,0.296,87.5,0.0
203-224,INBEYN,INBEYN,NBEYOND,0.6678,57.14,0.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9085,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9085,100.0,100.0
244-258,INEED2P,INEED2P,INEED2P,0.7335,100.0,100.0
244-258,INEED2P,INEED2P,INEED2P,0.7335,100.0,100.0
259-307,BEBAEB,BEBAEB,88B88BB,0.0934,28.57,0.0
259-307,BEBAEB,BEBAEB,88B88BB,0.0973,28.57,0.0
