intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HONVDUH,HONVDUH,HONDUH,0.4104,85.71,0.0
0-19,HONVDUH,HONVDUH,HONDUH,0.4104,85.71,0.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.4441,100.0,100.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.4441,100.0,100.0
43-60,EEIABUG,EEIABUG,EEWABUG,0.2439,85.71,0.0
43-60,EEIABUG,EEIABUG,EEWABUG,0.2439,85.71,0.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.9998,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.9998,100.0,100.0
80-100,OHTTFIU,OHTTFIU,OHIFIT,0.0806,57.14,0.0
80-100,OHTTFIU,OHTTFIU,OHIFIT,0.0806,57.14,0.0
101-117,EXGAS,EXGAS,EWGAS,0.3558,80.0,0.0
101-117,EXGAS,EXGAS,EWGAS,0.3558,80.0,0.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.7174,100.0,100.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.7174,100.0,100.0
146-160,BYE401K,BYE401K,BYE4O1K,0.9163,85.71,0.0
146-160,BYE401K,BYE401K,BYE4O1K,0.9163,85.71,0.0
161-183,KUAHA,KUAHA,MUAHAHA,0.1373,57.14,0.0
161-183,KUAHA,KUAHA,MUAHAHA,0.1373,57.14,0.0
184-202,ORINNIE,ORINNIE,ORINNIE,0.2832,100.0,100.0
184-202,ORINNIE,ORINNIE,ORINNIE,0.2832,100.0,100.0
203-224,NBEYON,NBEYON,NBEYOND,0.9907,85.71,0.0
203-224,NBEYON,NBEYON,NBEYOND,0.9762,85.71,0.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9953,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9953,100.0,100.0
244-258,INEEDZP,INEEDZP,INEED2P,0.9957,85.71,0.0
244-258,INEEDZP,INEEDZP,INEED2P,0.9957,85.71,0.0
259-307,BOBBBBBL,BOBBBBBL,88B88BB,0.0648,37.5,0.0
259-307,BOBBBBBL,BOBBBBBL,88B88BB,0.0648,37.5,0.0
