intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa,confianca_placa_produto
0-19,HONVDUH,HONVDUH,HONDUH,0.4104,85.71,0.0,35.18
0-19,HONVDUH,HONVDUH,HONDUH,0.4104,85.71,0.0,35.18
21-42,TIMELESS,TIMELESS,TIMELESS,0.4441,100.0,100.0,44.41
21-42,TIMELESS,TIMELESS,TIMELESS,0.4441,100.0,100.0,44.41
43-60,EEMABUG,EEMABUG,EEWABUG,0.338,85.71,0.0,28.98
43-60,EEMABUG,EEMABUG,EEWABUG,0.338,85.71,0.0,28.98
61-79,PIKACHU,PIKACHU,PIKACHU,0.9998,100.0,100.0,99.98
61-79,PIKACHU,PIKACHU,PIKACHU,0.9998,100.0,100.0,99.98
80-100,OHTTFIU,OHTTFIU,OHIFIT,0.0806,57.14,0.0,4.61
80-100,OHTTFIU,OHTTFIU,OHIFIT,0.0806,57.14,0.0,4.61
101-117,EXGA5,EXGA5,EWGAS,0.4076,60.0,0.0,24.45
101-117,EXGA5,EXGA5,EWGAS,0.4076,60.0,0.0,24.45
118-145,OFZELDA,OFZELDA,OFZELDA,0.7174,100.0,100.0,71.74
118-145,OFZELDA,OFZELDA,OFZELDA,0.7174,100.0,100.0,71.74
146-160,BYE401K,BYE401K,BYE4O1K,0.9163,85.71,0.0,78.54
146-160,BYE401K,BYE401K,BYE4O1K,0.9163,85.71,0.0,78.54
161-183,KUAHA,KUAHA,MUAHAHA,0.1373,57.14,0.0,7.85
161-183,KUAHA,KUAHA,MUAHAHA,0.1373,57.14,0.0,7.85
184-202,ORINNIE,ORINNIE,ORINNIE,0.2832,100.0,100.0,28.32
184-202,ORINNIE,ORINNIE,ORINNIE,0.2832,100.0,100.0,28.32
203-224,NBEYON,NBEYON,NBEYOND,0.9762,85.71,0.0,83.68
203-224,NBEYON,NBEYON,NBEYOND,0.9762,85.71,0.0,83.68
225-243,TOYYODA,TOYYODA,TOYYODA,0.9953,100.0,100.0,99.53
225-243,TOYYODA,TOYYODA,TOYYODA,0.9953,100.0,100.0,99.53
244-258,INEEDZP,INEEDZP,INEED2P,0.9957,85.71,0.0,85.35
244-258,INEEDZP,INEEDZP,INEED2P,0.9957,85.71,0.0,85.35
259-307,BABBBBBL,BABBBBBL,88B88BB,0.0743,37.5,0.0,2.79
259-307,BBDBABBL,BBDBABBL,88B88BB,0.2262,25.0,0.0,5.66
