intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HOWDUH,HOWDUH,HONDUH,0.3277,83.33,0.0
0-19,HOWDUH,HOWDUH,HONDUH,0.3277,83.33,0.0
21-42,TLE55,TLE55,TIMELESS,0.2751,37.5,0.0
21-42,TLE55,TLE55,TIMELESS,0.2751,37.5,0.0
43-60,EELABUG,EELABUG,EEWABUG,0.349,85.71,0.0
43-60,EEHABUG,EEHABUG,EEWABUG,0.3792,85.71,0.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.9979,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.9979,100.0,100.0
80-100,FIT,FIT,OHIFIT,0.9992,50.0,0.0
80-100,FIT,FIT,OHIFIT,0.9992,50.0,0.0
101-117,E9WS,E9WS,EWGAS,0.4356,40.0,0.0
101-117,E9WS,E9WS,EWGAS,0.4356,40.0,0.0
118-145,MFZELA,MFZELA,OFZELDA,0.8976,71.43,0.0
118-145,MFZELA,MFZELA,OFZELDA,0.8976,71.43,0.0
146-160,BYEI401K7,BYEI401K7,BYE4O1K,0.2282,66.67,0.0
146-160,BYEI401K7,BYEI401K7,BYE4O1K,0.2282,66.67,0.0
161-183,MAHAH,MAHAH,MUAHAHA,0.5519,71.43,0.0
161-183,MAHAH,MAHAH,MUAHAHA,0.5519,71.43,0.0
184-202,IORINNHES,IORINNHES,ORINNIE,0.0713,66.67,0.0
184-202,IORINNHES,IORINNHES,ORINNIE,0.0713,66.67,0.0
203-224,WEYON,WEYON,NBEYOND,0.9715,57.14,0.0
203-224,WBEYON,WBEYON,NBEYOND,0.733,71.43,0.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9628,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9628,100.0,100.0
244-258,INEEDZP,INEEDZP,INEED2P,0.795,85.71,0.0
244-258,INEEDZP,INEEDZP,INEED2P,0.795,85.71,0.0
259-307,B8D5ZZ,B8D5ZZ,88B88BB,0.065,14.29,0.0
259-307,B8LL7,B8LL7,88B88BB,0.3416,28.57,0.0
