intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HONVDUH,HONVDUH,HONDUH,0.4104,85.71,0.0
0-19,HONVDUH,HONVDUH,HONDUH,0.4104,85.71,0.0
21-42,TIELESS,TIELESS,TIMELESS,0.615,87.5,0.0
21-42,TIELESS,TIELESS,TIMELESS,0.615,87.5,0.0
43-60,EENABUG,EENABUG,EEWABUG,0.4062,85.71,0.0
43-60,EENABUG,EENABUG,EEWABUG,0.4062,85.71,0.0
61-79,PIKACHU,PIKACHU,PIKACHU,1.0,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,1.0,100.0,100.0
80-100,OHTFW,OHTFW,OHIFIT,0.2617,50.0,0.0
80-100,OHTFW,OHTFW,OHIFIT,0.2617,50.0,0.0
101-117,EXGA5,EXGA5,EWGAS,0.4076,60.0,0.0
101-117,EXGAS,EXGAS,EWGAS,0.3668,80.0,0.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.7143,100.0,100.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.7143,100.0,100.0
146-160,BYE401K,BYE401K,BYE4O1K,0.9266,85.71,0.0
146-160,BYE401K,BYE401K,BYE4O1K,0.9235,85.71,0.0
161-183,KUAHA,KUAHA,MUAHAHA,0.1569,57.14,0.0
161-183,KUAHA,KUAHA,MUAHAHA,0.1569,57.14,0.0
184-202,ORINNIE,ORINNIE,ORINNIE,0.2963,100.0,100.0
184-202,ORINNIE,ORINNIE,ORINNIE,0.2963,100.0,100.0
203-224,NBEYOND,NBEYOND,NBEYOND,0.4983,100.0,100.0
203-224,NBEYON,NBEYON,NBEYOND,0.9828,85.71,0.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9953,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.9953,100.0,100.0
244-258,INEEDZP,INEEDZP,INEED2P,0.997,85.71,0.0
244-258,INEEDZP,INEEDZP,INEED2P,0.997,85.71,0.0
259-307,BADB0BB7,BADB0BB7,88B88BB,0.0961,25.0,0.0
259-307,BADB0BB7,BADB0BB7,88B88BB,0.1041,25.0,0.0
