intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,,,HONDUH,0.0,0.0,0.0
0-19,,,HONDUH,0.0,0.0,0.0
21-42,,,TIMELESS,0.0,0.0,0.0
21-42,,,TIMELESS,0.0,0.0,0.0
43-60,,,EEWABUG,0.0,0.0,0.0
43-60,,,EEWABUG,0.0,0.0,0.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
80-100,,,OHIFIT,0.0,0.0,0.0
80-100,,,OHIFIT,0.0,0.0,0.0
101-117,EIS,EIS,EWGAS,0.0,40.0,0.0
101-117,EIS,EIS,EWGAS,0.0,40.0,0.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
146-160,,,BYE4O1K,0.0,0.0,0.0
146-160,,,BYE4O1K,0.0,0.0,0.0
161-183,,,MUAHAHA,0.0,0.0,0.0
161-183,,,MUAHAHA,0.0,0.0,0.0
184-202,,,ORINNIE,0.0,0.0,0.0
184-202,,,ORINNIE,0.0,0.0,0.0
203-224,NBEYOND,NBEYOND,NBEYOND,0.0,100.0,100.0
203-224,NBEYOND,NBEYOND,NBEYOND,0.0,100.0,100.0
225-243,,,TOYYODA,0.0,0.0,0.0
225-243,,,TOYYODA,0.0,0.0,0.0
244-258,,,INEED2P,0.0,0.0,0.0
244-258,,,INEED2P,0.0,0.0,0.0
259-307,,,88B88BB,0.0,0.0,0.0
259-307,,,88B88BB,0.0,0.0,0.0
