intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.88,100.0,100.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.88,100.0,100.0
43-60,EEWABLIG,EEWABLIG,EEWABUG,0.0,75.0,0.0
43-60,EEWABLIG,EEWABLIG,EEWABUG,0.0,75.0,0.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.96,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.96,100.0,100.0
80-100,,,OHIFIT,0.0,0.0,0.0
80-100,,,OHIFIT,0.0,0.0,0.0
101-117,ACS,ACS,EWGAS,0.0,20.0,0.0
101-117,ACS,ACS,EWGAS,0.0,20.0,0.0
118-145,OF ZELDA,OFZELDA,OFZELDA,0.59,100.0,100.0
118-145,OF ZELDA,OFZELDA,OFZELDA,0.59,100.0,100.0
146-160,JBYE401K,JBYE401K,BYE4O1K,0.0,75.0,0.0
146-160,JBYE401K,JBYE401K,BYE4O1K,0.0,75.0,0.0
161-183,MUAHAHA,MUAHAHA,MUAHAHA,0.0,100.0,100.0
161-183,MUAHAHA,MUAHAHA,MUAHAHA,0.0,100.0,100.0
184-202,,,ORINNIE,0.0,0.0,0.0
184-202,,,ORINNIE,0.0,0.0,0.0
203-224,,,NBEYOND,0.0,0.0,0.0
203-224,,,NBEYOND,0.0,0.0,0.0
225-243,,,TOYYODA,0.0,0.0,0.0
225-243,,,TOYYODA,0.0,0.0,0.0
244-258,,,INEED2P,0.0,0.0,0.0
244-258,,,INEED2P,0.0,0.0,0.0
259-307,,,88B88BB,0.0,0.0,0.0
259-307,,,88B88BB,0.0,0.0,0.0
