intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.19,100.0,100.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.19,100.0,100.0
43-60,EEWABUG,EEWABUG,EEWABUG,0.0,100.0,100.0
43-60,EEWABUG,EEWABUG,EEWABUG,0.0,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
80-100,,,OHIFIT,0.0,0.0,0.0
80-100,,,OHIFIT,0.0,0.0,0.0
101-117,EIS,EIS,EWGAS,0.0,40.0,0.0
101-117,EIS,EIS,EWGAS,0.0,40.0,0.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
146-160,JBYE401K,JBYE401K,BYE4O1K,0.0,75.0,0.0
146-160,JBYE401K,JBYE401K,BYE4O1K,0.0,75.0,0.0
161-183,RUAHAH,RUAHAH,MUAHAHA,0.0,71.43,0.0
161-183,RUAHAH,RUAHAH,MUAHAHA,0.0,71.43,0.0
184-202,TN,TN,ORINNIE,0.0,14.29,0.0
184-202,TN,TN,ORINNIE,0.0,14.29,0.0
203-224,NBEYOND,NBEYOND,NBEYOND,0.0,100.0,100.0
203-224,NBEYOND,NBEYOND,NBEYOND,0.0,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.0,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.0,100.0,100.0
244-258,TNEED2P,TNEED2P,INEED2P,0.0,85.71,0.0
244-258,TNEED2P,TNEED2P,INEED2P,0.0,85.71,0.0
259-307,ABBBB,ABBBB,88B88BB,0.0,42.86,0.0
259-307,ABBBB,ABBBB,88B88BB,0.0,42.86,0.0
