intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
21-42,THELESS,THELESS,TIMELESS,0.3,75.0,0.0
21-42,THELESS,THELESS,TIMELESS,0.3,75.0,0.0
43-60,EEWABUG,EEWABUG,EEWABUG,0.0,100.0,100.0
43-60,EEWABG,EEWABG,EEWABUG,0.0,85.71,0.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
80-100,,,OHIFIT,0.0,0.0,0.0
80-100,,,OHIFIT,0.0,0.0,0.0
101-117,EUS,EUS,EWGAS,0.0,40.0,0.0
101-117,EUS,EUS,EWGAS,0.0,40.0,0.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
146-160,JBYE401K,JBYE401K,BYE4O1K,0.0,75.0,0.0
146-160,JBYE401K,JBYE401K,BYE4O1K,0.0,75.0,0.0
161-183,MUAHAHA,MUAHAHA,MUAHAHA,0.0,100.0,100.0
161-183,MUAHAHA,MUAHAHA,MUAHAHA,0.0,100.0,100.0
184-202,ORTHNTE,ORTHNTE,ORINNIE,0.0,57.14,0.0
184-202,ORTHNTE,ORTHNTE,ORINNIE,0.0,57.14,0.0
203-224,PNBEYONDI,PNBEYONDI,NBEYOND,0.0,77.78,0.0
203-224,BEYOND,BEYOND,NBEYOND,0.0,85.71,0.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.0,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.0,100.0,100.0
244-258,INEED2P,INEED2P,INEED2P,0.0,100.0,100.0
244-258,INEED2P,INEED2P,INEED2P,0.0,100.0,100.0
259-307,AGB88BB,AGB88BB,88B88BB,0.0,71.43,0.0
259-307,AGB88BB,AGB88BB,88B88BB,0.0,71.43,0.0
