intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
0-19,HONDUH,HONDUH,HONDUH,0.0,100.0,100.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.5,100.0,100.0
21-42,TIMELESS,TIMELESS,TIMELESS,0.5,100.0,100.0
43-60,EEKABUG,EEKABUG,EEWABUG,0.0,85.71,0.0
43-60,EEKABUG,EEKABUG,EEWABUG,0.0,85.71,0.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
61-79,PIKACHU,PIKACHU,PIKACHU,0.0,100.0,100.0
80-100,,,OHIFIT,0.0,0.0,0.0
80-100,,,OHIFIT,0.0,0.0,0.0
101-117,OGIS,OGIS,EWGAS,0.0,40.0,0.0
101-117,RUS,RUS,EWGAS,0.0,20.0,0.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
118-145,OFZELDA,OFZELDA,OFZELDA,0.0,100.0,100.0
146-160,IBYE401K,IBYE401K,BYE4O1K,0.0,75.0,0.0
146-160,IBYE401K,IBYE401K,BYE4O1K,0.0,75.0,0.0
161-183,NUAHAHA,NUAHAHA,MUAHAHA,0.0,85.71,0.0
161-183,NUAHAHA,NUAHAHA,MUAHAHA,0.0,85.71,0.0
184-202,ORTANTE,ORTANTE,ORINNIE,0.0,57.14,0.0
184-202,ORTANTE,ORTANTE,ORINNIE,0.0,57.14,0.0
203-224,BEYOND,BEYOND,NBEYOND,0.25,85.71,0.0
203-224,WUBEYONDS,WUBEYONDS,NBEYOND,0.0,66.67,0.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.0,100.0,100.0
225-243,TOYYODA,TOYYODA,TOYYODA,0.0,100.0,100.0
244-258,INEED2P,INEED2P,INEED2P,0.0,100.0,100.0
244-258,INEED2P,INEED2P,INEED2P,0.0,100.0,100.0
259-307,C,C,88B88BB,0.0,0.0,0.0
259-307,RRORED,RRORED,88B88BB,0.0,0.0,0.0
