arquivo,texto_bruto,texto_limpo,conf_media
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000000_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000001_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000002_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000003_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000004_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000005_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000006_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000007_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000008_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000009_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000010_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000011_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000012_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000013_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000014_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000015_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000016_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000017_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000018_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000019_pad16_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000021_pad16_0.jpg,TIMELESS,TIMELESS,17.2
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000022_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000023_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000024_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000025_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000026_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000027_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000028_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000029_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000030_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000031_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000032_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000033_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000034_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000035_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000036_pad16_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000037_pad16_0.jpg,TIMELESS,TIMELESS,15.6
