frame,arquivo,gt,pred,levenshtein,acerto_por_letra,conf_media
0,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000000_pad16_0.jpg,HONDUH,,6,0.0,-1.0
1,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000001_pad16_0.jpg,HONDUH,,6,0.0,-1.0
2,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000002_pad16_0.jpg,HONDUH,,6,0.0,-1.0
3,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000003_pad16_0.jpg,HONDUH,,6,0.0,-1.0
4,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000004_pad16_0.jpg,HONDUH,,6,0.0,-1.0
5,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000005_pad16_0.jpg,HONDUH,,6,0.0,-1.0
6,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000006_pad16_0.jpg,HONDUH,,6,0.0,-1.0
7,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000007_pad16_0.jpg,HONDUH,,6,0.0,-1.0
8,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000008_pad16_0.jpg,HONDUH,,6,0.0,-1.0
9,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000009_pad16_0.jpg,HONDUH,,6,0.0,-1.0
10,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000010_pad16_0.jpg,HONDUH,,6,0.0,-1.0
11,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000011_pad16_0.jpg,HONDUH,,6,0.0,-1.0
12,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000012_pad16_0.jpg,HONDUH,,6,0.0,-1.0
13,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000013_pad16_0.jpg,HONDUH,,6,0.0,-1.0
14,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000014_pad16_0.jpg,HONDUH,,6,0.0,-1.0
15,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000015_pad16_0.jpg,HONDUH,,6,0.0,-1.0
16,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000016_pad16_0.jpg,HONDUH,,6,0.0,-1.0
17,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000017_pad16_0.jpg,HONDUH,,6,0.0,-1.0
18,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000018_pad16_0.jpg,HONDUH,,6,0.0,-1.0
19,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_desseseis\placa\frame_000019_pad16_0.jpg,HONDUH,,6,0.0,-1.0
