arquivo,texto_bruto,texto_limpo,conf_media
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000000_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000001_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000002_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000003_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000004_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000005_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000006_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000007_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000008_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000009_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000010_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000011_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000012_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000013_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000014_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000015_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000016_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000017_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000018_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000019_pad8_0.jpg,HONDUH,HONDUH,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000021_pad8_0.jpg,TIMELESS,TIMELESS,15.6
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000022_pad8_0.jpg,TIMELESS,TIMELESS,5.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000023_pad8_0.jpg,TIMELESS,TIMELESS,5.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000024_pad8_0.jpg,TIMELESS,TIMELESS,5.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000025_pad8_0.jpg,TIMELESS,TIMELESS,5.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000026_pad8_0.jpg,TIMELESS,TIMELESS,5.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000027_pad8_0.jpg,TIMELESS,TIMELESS,5.8
