frame,arquivo,gt,pred,levenshtein,acerto_por_letra,conf_media
0,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000000_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
1,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000001_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
2,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000002_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
3,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000003_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
4,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000004_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
5,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000005_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
6,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000006_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
7,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000007_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
8,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000008_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
9,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000009_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
10,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000010_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
11,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000011_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
12,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000012_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
13,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000013_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
14,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000014_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
15,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000015_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
16,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000016_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
17,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000017_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
18,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000018_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
19,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000019_pad8_0.jpg,HONDUH,HONDUH,0,1.0,-0.8
21,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000021_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,15.6
22,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000022_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
23,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000023_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
24,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000024_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
25,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000025_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
26,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000026_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
27,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000027_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
28,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000028_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
29,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000029_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
30,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000030_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
31,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000031_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
32,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_oito\placa\frame_000032_pad8_0.jpg,TIMELESS,TIMELESS,0,1.0,5.8
