arquivo,texto_bruto,texto_limpo,conf_media
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000000_pad32_0.jpg,S,S,-0.8
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000001_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000002_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000003_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000004_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000005_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000006_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000007_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000008_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000009_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000010_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000011_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000012_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000013_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000014_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000015_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000016_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000017_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000018_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000019_pad32_0.jpg,ONL P,ONLP,-0.3
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000021_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000022_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000023_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000024_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000025_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000026_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000027_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000028_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000029_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000030_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000031_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000032_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000033_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000034_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000035_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000036_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000037_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000038_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000039_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000040_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000041_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000042_pad32_0.jpg,,,-1.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000043_pad32_0.jpg,FEWABUG,FEWABUG,4.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000044_pad32_0.jpg,FEWABUG,FEWABUG,4.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000045_pad32_0.jpg,FEWABUG,FEWABUG,4.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000046_pad32_0.jpg,FEWABUG,FEWABUG,4.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000047_pad32_0.jpg,FEWABUG,FEWABUG,4.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000048_pad32_0.jpg,FEWABUG,FEWABUG,4.0
C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000049_pad32_0.jpg,FEWABUG,FEWABUG,4.0
