pasta_origem,intervalo,texto_bruto,texto_limpo,placa,confianca_ocr,confianca_letras,confianca_placa
recorte_justo,0-19,HONDUH,HONDUH,HONDUH,-0.008,100.0,100.0
recorte_justo,0-19,HONDUH,HONDUH,HONDUH,-0.008,100.0,100.0
recorte_justo,21-42,TIMELESS,TIMELESS,TIMELESS,0.068,100.0,100.0
recorte_justo,21-42,THELESS,THELESS,TIMELESS,0.052,25.0,0.0
recorte_justo,43-60,EEWABG,EEWABG,EEWABUG,-0.008,71.43,0.0
recorte_justo,43-60,EEWABG,EEWABG,EEWABUG,-0.008,71.43,0.0
recorte_justo,61-79,PIKACHU,PIKACHU,PIKACHU,-0.008,100.0,100.0
recorte_justo,61-79,PIKACHU,PIKACHU,PIKACHU,-0.008,100.0,100.0
recorte_justo,80-100,,,OHIFIT,-0.01,0.0,0.0
recorte_justo,80-100,,,OHIFIT,-0.01,0.0,0.0
recorte_justo,101-117,BGS,BGS,EWGAS,-0.008,0.0,0.0
recorte_justo,101-117,EUS,EUS,EWGAS,-0.008,20.0,0.0
recorte_justo,118-145,OFZELDA,OFZELDA,OFZELDA,-0.008,100.0,100.0
recorte_justo,118-145,OFZELDA,OFZELDA,OFZELDA,-0.008,100.0,100.0
recorte_justo,146-160,JBYE401K,JBYE401K,BYE4O1K,-0.008,0.0,0.0
recorte_justo,146-160,JBYE401K,JBYE401K,BYE4O1K,-0.008,0.0,0.0
recorte_justo,161-183,MUAHAHA,MUAHAHA,MUAHAHA,-0.008,100.0,100.0
recorte_justo,161-183,MUAHAHA,MUAHAHA,MUAHAHA,-0.008,100.0,100.0
recorte_justo,184-202,ORTANTE,ORTANTE,ORINNIE,-0.008,57.14,0.0
recorte_justo,184-202,ORTHNTE,ORTHNTE,ORINNIE,-0.008,57.14,0.0
recorte_justo,203-224,PNBEYONDI,PNBEYONDI,NBEYOND,-0.008,0.0,0.0
recorte_justo,203-224,DNBEYONDI,DNBEYONDI,NBEYOND,-0.008,0.0,0.0
recorte_justo,225-243,TOYYODA,TOYYODA,TOYYODA,-0.008,100.0,100.0
recorte_justo,225-243,TOYYODA,TOYYODA,TOYYODA,-0.008,100.0,100.0
recorte_justo,244-258,INEED2P,INEED2P,INEED2P,-0.008,100.0,100.0
recorte_justo,244-258,,,INEED2P,-0.01,0.0,0.0
recorte_justo,259-307,AGB88BB,AGB88BB,88B88BB,-0.008,71.43,0.0
recorte_justo,259-307,AGB88BB,AGB88BB,88B88BB,-0.008,71.43,0.0
