frame,arquivo,gt,pred,levenshtein,acerto_por_letra,conf_media
0,frame_000000.jpg,HONDUH,,6,0.0,18.2
1,frame_000001.jpg,HONDUH,,6,0.0,18.2
2,frame_000002.jpg,HONDUH,,6,0.0,18.2
3,frame_000003.jpg,HONDUH,,6,0.0,18.2
4,frame_000004.jpg,HONDUH,,6,0.0,18.2
5,frame_000005.jpg,HONDUH,,6,0.0,18.2
6,frame_000006.jpg,HONDUH,,6,0.0,18.2
7,frame_000007.jpg,HONDUH,,6,0.0,18.2
8,frame_000008.jpg,HONDUH,,6,0.0,18.2
9,frame_000009.jpg,HONDUH,,6,0.0,18.2
10,frame_000010.jpg,HONDUH,,6,0.0,18.2
11,frame_000011.jpg,HONDUH,,6,0.0,18.2
12,frame_000012.jpg,HONDUH,,6,0.0,18.2
13,frame_000013.jpg,HONDUH,,6,0.0,18.2
14,frame_000014.jpg,HONDUH,,6,0.0,18.2
15,frame_000015.jpg,HONDUH,,6,0.0,18.2
16,frame_000016.jpg,HONDUH,,6,0.0,18.2
17,frame_000017.jpg,HONDUH,,6,0.0,18.2
18,frame_000018.jpg,HONDUH,,6,0.0,18.2
19,frame_000019.jpg,HONDUH,,6,0.0,18.2
21,frame_000021.jpg,TIMELESS,3ELOREAN,7,0.125,20.5
22,frame_000022.jpg,TIMELESS,BELOREAN,7,0.125,21.61
23,frame_000023.jpg,TIMELESS,BELOREAN,7,0.125,21.61
24,frame_000024.jpg,TIMELESS,BELOREAN,7,0.125,21.61
25,frame_000025.jpg,TIMELESS,BELOREAN,7,0.125,21.61
26,frame_000026.jpg,TIMELESS,BELOREAN,7,0.125,21.61
27,frame_000027.jpg,TIMELESS,BELOREAN,7,0.125,21.61
28,frame_000028.jpg,TIMELESS,BELOREAN,7,0.125,21.61
29,frame_000029.jpg,TIMELESS,BELOREAN,7,0.125,21.61
30,frame_000030.jpg,TIMELESS,BELOREAN,7,0.125,21.61
31,frame_000031.jpg,TIMELESS,BELOREAN,7,0.125,21.61
32,frame_000032.jpg,TIMELESS,BELOREAN,7,0.125,21.61
33,frame_000033.jpg,TIMELESS,BELOREAN,7,0.125,21.61
34,frame_000034.jpg,TIMELESS,BELOREAN,7,0.125,21.61
35,frame_000035.jpg,TIMELESS,BELOREAN,7,0.125,21.61
36,frame_000036.jpg,TIMELESS,BELOREAN,7,0.125,21.61
37,frame_000037.jpg,TIMELESS,BELOREAN,7,0.125,21.61
38,frame_000038.jpg,TIMELESS,BELOREAN,7,0.125,21.61
39,frame_000039.jpg,TIMELESS,BELOREAN,7,0.125,21.61
40,frame_000040.jpg,TIMELESS,BELOREAN,7,0.125,21.61
41,frame_000041.jpg,TIMELESS,BELOREAN,7,0.125,21.61
42,frame_000042.jpg,TIMELESS,BELOREAN,7,0.125,21.61
43,frame_000043.jpg,EEWABUG,,7,0.0,20.33
44,frame_000044.jpg,EEWABUG,,7,0.0,20.33
45,frame_000045.jpg,EEWABUG,,7,0.0,20.33
46,frame_000046.jpg,EEWABUG,,7,0.0,20.33
47,frame_000047.jpg,EEWABUG,,7,0.0,20.33
48,frame_000048.jpg,EEWABUG,,7,0.0,20.33
49,frame_000049.jpg,EEWABUG,,7,0.0,20.33
50,frame_000050.jpg,EEWABUG,,7,0.0,20.33
51,frame_000051.jpg,EEWABUG,,7,0.0,20.33
52,frame_000052.jpg,EEWABUG,,7,0.0,20.33
53,frame_000053.jpg,EEWABUG,,7,0.0,20.33
54,frame_000054.jpg,EEWABUG,,7,0.0,20.33
55,frame_000055.jpg,EEWABUG,,7,0.0,20.33
56,frame_000056.jpg,EEWABUG,,7,0.0,20.33
57,frame_000057.jpg,EEWABUG,,7,0.0,20.33
58,frame_000058.jpg,EEWABUG,,7,0.0,20.33
59,frame_000059.jpg,EEWABUG,,7,0.0,20.33
60,frame_000060.jpg,EEWABUG,,7,0.0,20.33
61,frame_000061.jpg,PIKACHU,,7,0.0,18.2
62,frame_000062.jpg,PIKACHU,,7,0.0,18.2
63,frame_000063.jpg,PIKACHU,,7,0.0,18.2
64,frame_000064.jpg,PIKACHU,,7,0.0,18.2
65,frame_000065.jpg,PIKACHU,,7,0.0,18.2
66,frame_000066.jpg,PIKACHU,,7,0.0,18.2
67,frame_000067.jpg,PIKACHU,,7,0.0,18.2
68,frame_000068.jpg,PIKACHU,,7,0.0,18.2
69,frame_000069.jpg,PIKACHU,,7,0.0,18.2
70,frame_000070.jpg,PIKACHU,,7,0.0,18.2
71,frame_000071.jpg,PIKACHU,,7,0.0,18.2
72,frame_000072.jpg,PIKACHU,,7,0.0,18.2
73,frame_000073.jpg,PIKACHU,,7,0.0,18.2
74,frame_000074.jpg,PIKACHU,,7,0.0,18.2
75,frame_000075.jpg,PIKACHU,,7,0.0,18.2
76,frame_000076.jpg,PIKACHU,,7,0.0,18.2
77,frame_000077.jpg,PIKACHU,,7,0.0,18.2
78,frame_000078.jpg,PIKACHU,,7,0.0,18.2
79,frame_000079.jpg,PIKACHU,,7,0.0,18.2
80,frame_000080.jpg,OHIFIT,,6,0.0,18.2
81,frame_000081.jpg,OHIFIT,,6,0.0,18.2
82,frame_000082.jpg,OHIFIT,,6,0.0,18.2
83,frame_000083.jpg,OHIFIT,,6,0.0,18.2
84,frame_000084.jpg,OHIFIT,,6,0.0,18.2
85,frame_000085.jpg,OHIFIT,,6,0.0,18.2
86,frame_000086.jpg,OHIFIT,,6,0.0,18.2
87,frame_000087.jpg,OHIFIT,,6,0.0,18.2
88,frame_000088.jpg,OHIFIT,,6,0.0,18.2
89,frame_000089.jpg,OHIFIT,,6,0.0,18.2
90,frame_000090.jpg,OHIFIT,,6,0.0,18.2
91,frame_000091.jpg,OHIFIT,,6,0.0,18.2
92,frame_000092.jpg,OHIFIT,,6,0.0,18.2
93,frame_000093.jpg,OHIFIT,,6,0.0,18.2
94,frame_000094.jpg,OHIFIT,,6,0.0,18.2
95,frame_000095.jpg,OHIFIT,,6,0.0,18.2
96,frame_000096.jpg,OHIFIT,,6,0.0,18.2
97,frame_000097.jpg,OHIFIT,,6,0.0,18.2
98,frame_000098.jpg,OHIFIT,,6,0.0,18.2
99,frame_000099.jpg,OHIFIT,,6,0.0,18.2
100,frame_000100.jpg,OHIFIT,,6,0.0,18.2
101,frame_000101.jpg,EWGAS,,5,0.0,18.2
102,frame_000102.jpg,EWGAS,,5,0.0,18.2
103,frame_000103.jpg,EWGAS,,5,0.0,18.2
104,frame_000104.jpg,EWGAS,,5,0.0,18.2
105,frame_000105.jpg,EWGAS,,5,0.0,18.2
106,frame_000106.jpg,EWGAS,,5,0.0,18.2
107,frame_000107.jpg,EWGAS,,5,0.0,20.33
108,frame_000108.jpg,EWGAS,,5,0.0,20.33
109,frame_000109.jpg,EWGAS,,5,0.0,20.33
110,frame_000110.jpg,EWGAS,,5,0.0,20.33
111,frame_000111.jpg,EWGAS,,5,0.0,20.33
112,frame_000112.jpg,EWGAS,,5,0.0,20.33
113,frame_000113.jpg,EWGAS,,5,0.0,20.33
114,frame_000114.jpg,EWGAS,,5,0.0,20.33
115,frame_000115.jpg,EWGAS,,5,0.0,20.33
116,frame_000116.jpg,EWGAS,,5,0.0,20.33
117,frame_000117.jpg,EWGAS,,5,0.0,20.33
118,frame_000118.jpg,OFZELDA,,7,0.0,18.2
119,frame_000119.jpg,OFZELDA,,7,0.0,18.2
120,frame_000120.jpg,OFZELDA,,7,0.0,18.2
121,frame_000121.jpg,OFZELDA,,7,0.0,18.2
122,frame_000122.jpg,OFZELDA,,7,0.0,18.2
123,frame_000123.jpg,OFZELDA,,7,0.0,18.2
124,frame_000124.jpg,OFZELDA,,7,0.0,18.2
125,frame_000125.jpg,OFZELDA,,7,0.0,18.2
126,frame_000126.jpg,OFZELDA,,7,0.0,18.2
127,frame_000127.jpg,OFZELDA,,7,0.0,18.2
