epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.939,1.45885,2.82053,1.27698,0.00348,0.93296,0.285,0.15833,1.32248,3.52938,1.23005,0.00052,0.00052,0.00052
2,233.776,1.46239,1.94079,1.24604,0.78241,0.221,0.50519,0.24448,1.41134,3.20201,1.29854,0.00103901,0.00103901,0.00103901
3,347.909,1.50672,1.82412,1.25429,0.33001,0.48603,0.33457,0.12227,1.58739,3.12346,1.43908,0.00153664,0.00153664,0.00153664
4,463.685,1.57229,1.71945,1.29981,0.76145,0.46364,0.57028,0.29413,1.62266,2.31818,1.51029,0.0018812,0.0018812,0.0018812
5,580,1.52597,1.56609,1.27032,0.17375,0.44134,0.17514,0.07981,1.62626,3.07745,1.42432,0.0018416,0.0018416,0.0018416
6,694.938,1.49764,1.38312,1.24496,0.36667,0.59777,0.28961,0.16268,1.51591,2.62429,1.43575,0.001802,0.001802,0.001802
7,809.276,1.54746,1.35128,1.30574,0.67963,0.76536,0.72938,0.38898,1.54242,1.69977,1.39267,0.0017624,0.0017624,0.0017624
8,923.419,1.46767,1.30228,1.28341,0.76957,0.76495,0.80958,0.4512,1.4312,1.6498,1.35361,0.0017228,0.0017228,0.0017228
9,1039.24,1.44677,1.1457,1.25091,0.81086,0.77654,0.84839,0.50732,1.37816,1.39589,1.28091,0.0016832,0.0016832,0.0016832
10,1154.25,1.42199,1.12533,1.2499,0.84251,0.80695,0.85465,0.48358,1.43673,1.33627,1.30009,0.0016436,0.0016436,0.0016436
11,1267.98,1.45383,1.11512,1.27237,0.86343,0.70391,0.84946,0.49818,1.39265,1.18968,1.28153,0.001604,0.001604,0.001604
12,1382.2,1.39304,1.08916,1.20481,0.81021,0.77095,0.82458,0.45544,1.46987,1.19196,1.29765,0.0015644,0.0015644,0.0015644
13,1496.26,1.38288,1.00321,1.21184,0.87579,0.78212,0.89313,0.5147,1.40791,1.04258,1.26283,0.0015248,0.0015248,0.0015248
14,1610.09,1.42833,1.07072,1.23049,0.8491,0.88268,0.90648,0.5303,1.4019,1.00407,1.26565,0.0014852,0.0014852,0.0014852
15,1724.1,1.40341,1.00824,1.22862,0.91331,0.76513,0.90121,0.54538,1.32013,0.98652,1.22602,0.0014456,0.0014456,0.0014456
16,1837.54,1.34607,0.95537,1.19114,0.84003,0.85475,0.90276,0.50655,1.42641,0.99547,1.29692,0.001406,0.001406,0.001406
17,1950.74,1.30872,0.90341,1.18166,0.88846,0.84916,0.92164,0.55294,1.32018,0.92207,1.21609,0.0013664,0.0013664,0.0013664
18,2064.5,1.3365,0.92664,1.20178,0.85367,0.88268,0.92744,0.56536,1.29114,0.84543,1.22289,0.0013268,0.0013268,0.0013268
19,2178.93,1.31998,0.87265,1.17733,0.88028,0.90372,0.9438,0.57216,1.30743,0.82146,1.20133,0.0012872,0.0012872,0.0012872
20,2294.6,1.28491,0.8645,1.17419,0.89704,0.87616,0.93174,0.57602,1.27658,0.81007,1.19915,0.0012476,0.0012476,0.0012476
21,2408.84,1.31527,0.85756,1.18224,0.90798,0.9371,0.95574,0.60938,1.24475,0.77533,1.16439,0.001208,0.001208,0.001208
22,2523.38,1.24939,0.83284,1.15563,0.9094,0.89944,0.95107,0.60032,1.24721,0.7744,1.18328,0.0011684,0.0011684,0.0011684
23,2637.45,1.24153,0.79818,1.15801,0.82331,0.93715,0.93447,0.58365,1.27943,0.7993,1.18512,0.0011288,0.0011288,0.0011288
24,2751.28,1.28488,0.84022,1.17347,0.89433,0.91061,0.94977,0.59878,1.25581,0.74372,1.16592,0.0010892,0.0010892,0.0010892
25,2865.1,1.27128,0.82326,1.16864,0.92155,0.91872,0.95971,0.62441,1.17821,0.73944,1.16022,0.0010496,0.0010496,0.0010496
26,2978.51,1.2103,0.78952,1.12497,0.87729,0.88827,0.93573,0.61799,1.17268,0.75173,1.15673,0.00101,0.00101,0.00101
27,3092.55,1.21965,0.78035,1.13352,0.87322,0.91061,0.93604,0.58901,1.22192,0.75456,1.16865,0.0009704,0.0009704,0.0009704
28,3206.12,1.18989,0.80009,1.13288,0.91184,0.93296,0.96312,0.62472,1.17582,0.69183,1.14062,0.0009308,0.0009308,0.0009308
29,3320.43,1.1992,0.73585,1.13864,0.92602,0.90904,0.96753,0.63132,1.16344,0.70917,1.14181,0.0008912,0.0008912,0.0008912
30,3434.81,1.17207,0.71457,1.11264,0.89271,0.92965,0.95335,0.64316,1.15,0.67564,1.12803,0.0008516,0.0008516,0.0008516
31,3548.65,1.20512,0.74312,1.11632,0.87374,0.93296,0.95555,0.64197,1.14788,0.6779,1.12436,0.000812,0.000812,0.000812
32,3662.65,1.18113,0.70653,1.10605,0.89901,0.94413,0.96648,0.64067,1.13816,0.67422,1.12107,0.0007724,0.0007724,0.0007724
33,3776.18,1.12795,0.70818,1.09016,0.8901,0.96089,0.95943,0.62511,1.14439,0.68284,1.12498,0.0007328,0.0007328,0.0007328
34,3889.96,1.18504,0.69703,1.10482,0.89837,0.97765,0.9722,0.65173,1.12663,0.63727,1.11386,0.0006932,0.0006932,0.0006932
35,4003.25,1.1729,0.71998,1.10253,0.93538,0.9704,0.97202,0.65229,1.13645,0.63359,1.12768,0.0006536,0.0006536,0.0006536
